"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
21731,"FITNESS_REST_TIME_OVERRIDE","Override the fitness rest time.","s","uint16",2,"0","0","65535",0,"BP",1,1,"DEFAULT"
21730,"MC_IPS_E_AGL_COS_OFFS","MC_IPS_E_AGL_COS_OFFS","-","int16",2,"0","-4095","4095",0,"FM",0,0,"DEFAULT"
21729,"MC_IPS_E_AGL_SIN_OFFS","MC_IPS_E_AGL_SIN_OFFS","-","int16",2,"0","-4095","4095",0,"FM",0,0,"DEFAULT"
21728,"MC_EAGL_OFFS","MC_EAGL_OFFS","-","float",4,"0","-6.28","6.28",0,"FM",0,0,"DEFAULT"
21727,"CABLE_STABLE_DUR_MS","Cable keep stable duration.","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21726,"AUTO_UNLOAD_HOLDING_ST","Auto unload holding status and time.","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21725,"LORA_KEY_EVENT","LoRa key event.","-","uint16",2,"0","0","65535",0,"EP_LoRa",0,0,"DEFAULT"
21724,"BMS_MCU_TMPR","BMS_MCU_TMPR","-","float",4,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
21723,"PMU_MCU_TMPR","PMU_MCU_TMPR","-","float",4,"0","-32768","32767",0,"PMU",0,0,"DEFAULT"
21722,"EP_WORKOUT_CHAINS_PCT_X100_S32","Chains weight percent, x100, int32_t","-","int32",4,"0","-2147483648","2147483647",0,"BP",1,1,"DEFAULT"
21721,"LOG_OVER_VCP","Output log over USB VCP.","-","uint8",1,"0","0","1",0,"BP",1,1,"DEFAULT"
21720,"SERVICE_ACCESS_ACT_TIME","Service access active time.","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21719,"SERVICE_ACCESS_REQ_CODE","The request code for service access.","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21718,"CHG_CURR","CHG_CURR","-","uint16",2,"0","0","65535",1,"PMU",1,1,"DEFAULT"
21717,"EP_MOSTMPR","EP_MOSTMPR","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21716,"EP_MAX_CHAINS_PCT","Max allowed chains percent.","-","uint8",1,"100","100","128",0,"BP",1,1,"DEFAULT"
21715,"S_TYPE_LOAD_CELL","S_TYPE_LOAD_CELL","-","float",4,"0","0","200000",1,"SENSOR",1,1,"DEFAULT"
21714,"BMS_IntTemperature","BMS_IntTemperature","-","int16",2,"0","0","65535",0,"BMS",0,0,"DEFAULT"
21713,"MC_INERTIA_COEFFICIENT","MC_INERTIA_COEFFICIENT","-","float",4,"0","0","100",1,"MC",1,1,"DEBUG"
21712,"DetectType","Detect_Type","-","uint8",1,"0","0","255",1,"PMU",1,1,"DEFAULT"
21711,"EP_TEST_COUNT_DELAY","EP_TEST_COUNT_DELAY","-","uint16",2,"5","0","65535",0,"EP_Multi_Laps",1,0,"DEFAULT"
21710,"EP_ONE_RUN_TEST_COUNT","EP_ONE_RUN_TEST_COUNT","-","uint16",2,"10","0","65535",0,"EP_Multi_Laps",1,0,"DEFAULT"
21709,"EP_TEST_CNT","EP_TEST_CNT","-","uint32",4,"1","0","10",0,"EP_Multi_Laps",1,0,"DEFAULT"
21708,"USER_STO_SETS_SYNC_SEQ","The sync sequence of user settings.","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21707,"SAFETY_LOCK_VERSION2_CNT","SAFETY_LOCK_VERSION2_CNT","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21706,"SAFETY_LOCK_VERSION","SAFETY_LOCK_VERSION","-","uint8",1,"0","0","5",0,"BP",0,0,"DEFAULT"
21705,"LOCK_VERSION_TEST_EN","TEST_CNT","-","uint8",1,"0","0","1",0,"BP",0,0,"DEFAULT"
21704,"SAFETY_LOCK_VERSION1_CNT","SAFETY_LOCK_VERSION1_CNT","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
21703,"LAST_DETECT_TYPE","LAST_DETECT_CHG_CURR_SAMPLING_TYPE","-","uint8",1,"0","0","255",1,"PMU",1,1,"DEFAULT"
21702,"DETECT_TIMES","DETECT_TIMES","-","uint8",1,"0","0","255",1,"PMU",1,1,"DEFAULT"
21701,"EP_SPEDREFAVERAGE","EP_SPEDREFAVERAGE","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21700,"EP_IQINAVERAGE","EP_IQINAVERAGE","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21699,"IPS_EAGL_OFFSET_FLAG","IPS_EAGL_OFFSET_FLAG","-","int8",1,"0","0","5",1,"FACTORY_TEST",1,1,"DEFAULT"
21698,"IPS_EAGL_OFFSET","IPS_EAGL_OFFSET","-","uint16",2,"2048","0","4096",1,"FACTORY_TEST",1,1,"DEFAULT"
21697,"IPS_EAGL","IPS_EAGL","-","uint16",2,"0","0","4096",1,"FACTORY_TEST",1,1,"DEFAULT"
21696,"EP_SETTING_CESHI","EP_SETTING_CESHI","-","uint16",2,"0","0","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21695,"FM_MAOUT1_OFFS","FM_MAOUT1_OFFS","-","int16",2,"0","-32767","32768",0,"FM",0,0,"DEFAULT"
21694,"FM_MAOUT0_OFFS","FM_MAOUT0_OFFS","-","int16",2,"0","-32767","32768",0,"FM",0,0,"DEFAULT"
21693,"FM_MAGL_ZERO_OFFS","FM_MAGL_ZERO_OFFS","-","float",4,"0","-100","100",0,"FM",0,0,"DEFAULT"
21692,"QUICK_CABLE_ADJUSTMENT","Pull the cable twice quickly to adjust length.","-","uint8",1,"1","0","1",0,"BP",1,1,"DEFAULT"
21691,"MPMAGL_CAL_STATE","MPMAGL_CAL_STATE","-","uint8",1,"0","0","255",0,"FM",0,0,"DEFAULT"
21690,"FM_MP_MAGL","FM_MP_MAGL","-","float",4,"0","-6.28","6.28",0,"FM",0,0,"DEFAULT"
21689,"MC_CHAIN_FORCE_LBS","MC_CHAIN_FORCE_LBS","lbs","float",4,"0","0","400",0,"MC",1,1,"DEFAULT"
21688,"MC_ROM_END","MC_ROM_END","cm","float",4,"0","0","2000",0,"MC",1,1,"DEFAULT"
21687,"MC_ROM_START","MC_ROM_START","cm","float",4,"0","0","2000",0,"MC",1,1,"DEFAULT"
21686,"EP_APP_RUN_ENABLE","EP_APP_RUN_ENABLE","-","uint8",1,"0","0","255",0,"EP_Multi_Laps",1,0,"DEFAULT"
21685,"MC_MOTOR_TEST_MODE","MC_MOTOR_TEST_MODE","-","uint8",1,"0","0","255",0,"MC",1,1,"DEFAULT"
21684,"MC_MOS_TEST_VQ","MC_MOS_TEST_VQ","-","float",4,"0","0","0.4",0,"MC",1,1,"DEFAULT"
21683,"MC_MOS_TEST_VD","MC_MOS_TEST_VD","-","float",4,"0","0","0.4",0,"MC",1,1,"DEFAULT"
21682,"MC_MOS_TEST_DELTA_AGL","MC_MOS_TEST_DELTA_AGL","-","float",4,"0.0001","0","1",0,"MC",1,1,"DEFAULT"
21681,"INA281_CALIBRATION_BETA","Beta coefficient for two-point calibration of INA281. Used to offset the scaled sensor value.","-","float",4,"0","-100","100",1,"PMU",1,1,"DEFAULT"
21680,"INA281_CALIBRATION_ALPHA","Alpha coefficient for two-point calibration of INA281. Used to scale the raw sensor value.","-","float",4,"0","-100","100",1,"PMU",1,1,"DEFAULT"
21679,"ESP32_AT_OTA_FAILED_CNT","The failed count of ESP32 AT OTA.","-","uint8",1,"0","0","255",0,"BP",0,0,"DEFAULT"
21678,"UNLOAD_ALERT_SOUND_EN","Whether enable unload alert sound.","-","uint8",1,"1","0","1",0,"BP",1,1,"DEFAULT"
21677,"ESP32_AT_IGNORE_VER","Ignored ESP32 AT bin version.","-","uint32",4,"0","0","4294967295",1,"BP",1,0,"DEFAULT"
21676,"EXT_ROPECLAMP_FINETUNEFLAG","EXT_ROPECLAMP_FINETUNEFLAG","-","uint8",1,"0","0","2",1,"SENSOR",1,1,"DEFAULT"
21675,"EP_N32G430_TEMPERATURE","EP_N32G430_TEMPERATURE","-","float",4,"0","-65535","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21674,"MC_BEEP_VOL","MC beep volume","-","uint8",1,"30","0","100",0,"BP",1,1,"DEFAULT"
21673,"EXT_ROPECLAMP_MOTORCURR_MA","EXT_ROPECLAMP_MOTORCURR_MA","-","float",4,"0","0","1000",1,"SENSOR",1,1,"DEFAULT"
21672,"EXT_ROPECLAMP_OPENTIME_MS","EXT_ROPECLAMP_OPENTIME_MS","-","float",4,"1500","0","5000",1,"SENSOR",1,1,"DEFAULT"
21671,"EXT_ROPECLAMP_CLOSETIME_MS","EXT_ROPECLAMP_CLOSETIME_MS","-","float",4,"2000","0","5000",1,"SENSOR",1,1,"DEFAULT"
21670,"EXT_ROPECLAMP_MODE","EXT_ROPECLAMP_MODE","-","int8",1,"0","0","2",1,"SENSOR",1,1,"DEFAULT"
21669,"EXT_ROPECLAMP_STATE","EXT_ROPECLAMP_STATE","-","int8",1,"1","0","1",1,"SENSOR",1,1,"DEFAULT"
21668,"SPOOL_MAX_POSITION","SPOOL_MAX_POSITION","-","float",4,"0","-65535","65535",0,"SPOOL_BRAKE",0,0,"DEFAULT"
21667,"SPOOL_MIN_POSITION","SPOOL_MIN_POSITION","-","float",4,"0","-65535","65535",0,"SPOOL_BRAKE",0,0,"DEFAULT"
21666,"EP_MC_FM_MSPD_RADPS_5","EP_MC_FM_MSPD_RADPS_5","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21665,"EP_MC_FM_MSPD_RADPS_4","EP_MC_FM_MSPD_RADPS_4","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21664,"EP_MC_FM_MSPD_RADPS_3","EP_MC_FM_MSPD_RADPS_3","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21663,"EP_MC_FM_MSPD_RADPS_2","EP_MC_FM_MSPD_RADPS_2","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21662,"EP_MC_FM_MOSTMPR_5","EP_MC_FM_MOSTMPR_5","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21661,"EP_MC_FM_MOSTMPR_4","EP_MC_FM_MOSTMPR_4","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21660,"EP_MC_FM_MOSTMPR_3","EP_MC_FM_MOSTMPR_3","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21659,"EP_MC_FM_MOSTMPR_2","EP_MC_FM_MOSTMPR_2","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21658,"EP_MC_FM_IDQIN_5","EP_MC_FM_IDQIN_5","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21657,"EP_MC_FM_IDQIN_4","EP_MC_FM_IDQIN_4","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21656,"EP_MC_FM_IDQIN_3","EP_MC_FM_IDQIN_3","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21655,"EP_MC_FM_IDQIN_2","EP_MC_FM_IDQIN_2","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21654,"EP_MC_FM_RUMCOUNT_5","EP_MC_FM_RUMCOUNT_5","-","uint16",2,"0","0","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21653,"EP_MC_FM_RUMCOUNT_4","EP_MC_FM_RUMCOUNT_4","-","uint16",2,"0","0","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21652,"EP_MC_FM_RUMCOUNT_3","EP_MC_FM_RUMCOUNT_3","-","uint16",2,"0","0","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21651,"EP_MC_FM_RUMCOUNT_2","EP_MC_FM_RUMCOUNT_2","-","uint16",2,"0","0","65535",0,"EP_Multi_Laps",0,0,"DEFAULT"
21650,"EP_MC_FM_MSPD_RADPS_1","EP_MC_FM_MSPD_RADPS_1","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21649,"EP_MC_FM_IDQIN_1","EP_MC_FM_IDQIN_1","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
21648,"EP_MC_FM_MOSTMPR_1","EP_MC_FM_MOSTMPR_1","-","float",4,"0","-32768","32767",0,"EP_Multi_Laps",0,0,"DEFAULT"
